212 	Avg Reward:  0.2147216796875 	 Loss:  0.3727600574493408 	 Wins:  0.0 	 Epsilon:  0.01
213 	Avg Reward:  0.2044677734375 	 Loss:  0.38528120517730713 	 Wins:  0.0 	 Epsilon:  0.01
214 	Avg Reward:  0.201904296875 	 Loss:  0.35729148983955383 	 Wins:  0.0 	 Epsilon:  0.01
215 	Avg Reward:  0.2037353515625 	 Loss:  0.36243247985839844 	 Wins:  0.0 	 Epsilon:  0.01
216 	Avg Reward:  0.2103271484375 	 Loss:  0.3765300512313843 	 Wins:  0.0 	 Epsilon:  0.01
217 	Avg Reward:  0.201904296875 	 Loss:  0.3634258806705475 	 Wins:  0.0 	 Epsilon:  0.01
218 	Avg Reward:  0.204833984375 	 Loss:  0.3610571622848511 	 Wins:  0.0 	 Epsilon:  0.01
219 	Avg Reward:  0.2022705078125 	 Loss:  0.3837650418281555 	 Wins:  0.0 	 Epsilon:  0.01
220 	Avg Reward:  0.2008056640625 	 Loss:  0.37788209319114685 	 Wins:  0.0 	 Epsilon:  0.01
221 	Avg Reward:  0.2154541015625 	 Loss:  0.367151141166687 	 Wins:  0.0 	 Epsilon:  0.01
222 	Avg Reward:  0.2000732421875 	 Loss:  0.36273348331451416 	 Wins:  0.0 	 Epsilon:  0.01
223 	Avg Reward:  0.2008056640625 	 Loss:  0.37210187315940857 	 Wins:  0.0 	 Epsilon:  0.01
224 	Avg Reward:  0.19970703125 	 Loss:  0.36779314279556274 	 Wins:  0.0 	 Epsilon:  0.01
225 	Avg Reward:  0.1949462890625 	 Loss:  0.37031739950180054 	 Wins:  0.0 	 Epsilon:  0.01
226 	Avg Reward:  0.18798828125 	 Loss:  0.37021005153656006 	 Wins:  0.0 	 Epsilon:  0.01
227 	Avg Reward:  0.198974609375 	 Loss:  0.38064849376678467 	 Wins:  0.0 	 Epsilon:  0.01
228 	Avg Reward:  0.198974609375 	 Loss:  0.3795087933540344 	 Wins:  0.0 	 Epsilon:  0.01
229 	Avg Reward:  0.207763671875 	 Loss:  0.3660792410373688 	 Wins:  0.0 	 Epsilon:  0.01
230 	Avg Reward:  0.196044921875 	 Loss:  0.3760187029838562 	 Wins:  0.0 	 Epsilon:  0.01
231 	Avg Reward:  0.1956787109375 	 Loss:  0.381796658039093 	 Wins:  0.0 	 Epsilon:  0.01
232 	Avg Reward:  0.1927490234375 	 Loss:  0.3641238212585449 	 Wins:  0.0 	 Epsilon:  0.01
233 	Avg Reward:  0.1942138671875 	 Loss:  0.3715571463108063 	 Wins:  0.0 	 Epsilon:  0.01
234 	Avg Reward:  0.207763671875 	 Loss:  0.36653560400009155 	 Wins:  0.0 	 Epsilon:  0.01
235 	Avg Reward:  0.19677734375 	 Loss:  0.3661857843399048 	 Wins:  0.0 	 Epsilon:  0.01
236 	Avg Reward:  0.2030029296875 	 Loss:  0.36950141191482544 	 Wins:  0.0 	 Epsilon:  0.01
237 	Avg Reward:  0.2099609375 	 Loss:  0.36432409286499023 	 Wins:  0.0 	 Epsilon:  0.01
238 	Avg Reward:  0.2073974609375 	 Loss:  0.35758018493652344 	 Wins:  0.0 	 Epsilon:  0.01
